name,team,position,height,weight,birthDate,awards,career_stats.games_played,career_stats.approx_val,career_stats.qbrec,career_stats.cmp_pct,career_stats.yds_pass,career_stats.ya,career_stats.passing_td,career_stats.int_thrown,career_stats.sacks,career_stats.solo,career_stats.ff,career_stats.rec,career_stats.yds_receive,career_stats.yr,career_stats.receiving_td,career_stats.fantpt
Ameer Abdullah,Minnesota Vikings,R,5-9,203lb,1993-06-13,[],75,14,,,,,,,,,,,,,,262.3
Oday Aboushi,Los Angeles Chargers,O,6-5,315lb,1991-06-05,[],66,19,,,,,,,,,,,,,,
Johnathan Abram,Las Vegas Raiders,S,6-0,205lb,1996-10-25,[],15,8,,,,,,,,,,,,,,
Andrew Adams,Tampa Bay Buccaneers,S,5-11,200lb,1992-10-28,[],74,13,,,,,,,,,,,,,,
Davante Adams,Green Bay Packers,W,6-1,215lb,1992-12-24,['1x All-Pro'],101,61,,,,,,,,,,551,6624,12.0,62,1036.4
Jamal Adams,Seattle Seahawks,S,6-1,213lb,1995-10-17,['1x All-Pro'],59,42,,,,,,,21.5,272,7,,,,,
Josh Adams,New York Jets,R,6-2,225lb,1996-10-29,[],25,4,,,,,,,,,,,,,,106.7
Matthew Adams,Indianapolis Colts,L,6-0,229lb,1995-12-12,[],42,8,,,,,,,,,,,,,,
Montravius Adams,New Orleans Saints,D,6-4,304lb,1995-07-24,[],46,4,,,,,,,1.5,22,1,,,,,
Nasir Adderley,Los Angeles Chargers,S,6-0,206lb,1997-05-31,[],20,5,,,,,,,,,,,,,,
Mario Addison,Buffalo Bills,D,6-3,260lb,1987-09-06,[],142,36,,,,,,,61.0,158,12,,,,,
Hakeem Adeniji,Cincinnati Bengals,O,6-4,302lb,1997-12-08,[],15,3,,,,,,,,,,,,,,
Olasunkanmi Adeniyi,Tennessee Titans,D,6-1,248lb,1997-09-12,[],33,1,,,,,,,,,,,,,,
Nelson Agholor,New England Patriots,W,6-0,198lb,1993-05-24,[],88,29,,,,,,,,,,277,3483,12.6,27,522.9
McTelvin Agim,Denver Broncos,D,6-3,309lb,1997-09-25,[],10,1,,,,,,,,,,,,,,
Jamal Agnew,Jacksonville Jaguars,W,5-10,190lb,1995-04-03,['1x All-Pro'],47,14,,,,,,,,,,16,105,6.6,0,43.3
