Player,Position,Injuries,Practice Status,Game Status,Year,Period
Jerry Ostroski,G,Leg,,Out,2001,REG6
Jeremy McDaniel,WR,Ankle,,Doubtful,2001,REG6
Tony Driver,SS,Shoulder,,Questionable,2001,REG6
Rob Johnson,QB,Neck,,Probable,2001,REG6
Fred Jones,OLB,Back,,Probable,2001,REG6
Leif Larsen,DT,Elbow,,Doubtful,2001,REG6
Phil Hansen,DE,Elbow,,Questionable,2001,REG6
Fred Taylor,RB,Groin,,Out,2001,REG6
Tony Boselli,T,Shoulder,,Out,2001,REG6
Sean Dawkins,WR,Ribs,,Probable,2001,REG6
Donovin Darius,SS,Hip,,Out,2001,REG6
Tony Brackens,DE,Knee,,Questionable,2001,REG6
Fernando Bryant,CB,Foot,,Questionable,2001,REG6
Hardy Nickerson,MLB,Neck,,Questionable,2001,REG6
Chad Bratzke,DE,Ankle,,Questionable,2001,REG7
Jerome Pathon,WR,Foot,,Out,2001,REG7
Idrees Bashir,FS,Ankle,,Probable,2001,REG7
Clifton Crosby,CB,Chest,,Probable,2001,REG7
Nick Harper,CB,Groin,,Probable,2001,REG7
Sean Harris,OLB,"Neck, Shoulder",,Out,2001,REG7
Terrence Wilkins,WR,Chest,,Out,2001,REG7
Adam Meadows,T,Foot,,Questionable,2001,REG7
Ryan Phillips,OLB,Neck,,Probable,2001,REG7
Ray Crockett,CB,Hand,,Out,2001,REG7
Gary Stills,OLB,Groin,,Out,2001,REG7
John Tait,T,Hip,,Probable,2001,REG7
Chris Thomas,WR,neck strain,,Probable,2001,REG7
John Browning,DT,Knee,,Out,2001,REG7
Dante Hall,WR,Shoulder,,Questionable,2001,REG7
Victor Riley,T,leg/ankle,,Out,2001,REG7
Monty Beisel,DE,Shoulder,,Probable,2001,REG7
Tony Richardson,FB,Shoulder,,Probable,2001,REG7
Donald Driver,WR,Quadricep,,Out,2001,REG11
Gilbert Brown,NT,Quadricep,,Probable,2001,REG11
Chad Clifton,T,Ankle,,Probable,2001,REG11
Ron Rice,SS,Neck,,Out,2001,REG11
James Stewart,RB,Ankle,,Questionable,2001,REG11
Lamar Campbell,SS,Hamstring,,Probable,2001,REG11
Desmond Howard,WR,Shoulder,,Questionable,2001,REG11
Bert Emanuel,WR,Knee,,Out,2001,REG11
Luther Elliss,DT,Elbow,,Questionable,2001,REG11
Stockar McDougle,G,Foot,,Questionable,2001,REG11
Bertrand Berry,DE,Shoulder,,Doubtful,2001,REG11
Kevin Kasper,WR,Ankle,,Questionable,2001,REG11
Scottie Montgomery,WR,Knee,,Questionable,2001,REG11
Trevor Pryce,DT,Neck,,Questionable,2001,REG11
Rod Smith,WR,Ankle,,Questionable,2001,REG11
Dan Neil,G,Ankle,,Probable,2001,REG11
Terrell Davis,RB,Knee,,Out,2001,REG11
George Coghill,FS,Head,,Probable,2001,REG11
Matt Lepsis,T,Knee,,Probable,2001,REG11
Dat Nguyen,MLB,Ankle,,Probable,2001,REG11
Orantes Grant,OLB,Knee,,Out,2001,REG11
Troy Hambrick,RB,Shoulder,,Probable,2001,REG11
Tony Dixon,SS,Ankle,,Out,2001,REG11
Dexter Coakley,OLB,Knee,,Questionable,2001,REG11
Quincy Carter,QB,Hamstring,,Questionable,2001,REG11
Jackie Harris,TE,Hamstring,,Out,2001,REG11
Louis Mackey,LB,Knee,,Out,2001,REG11
Ebenezer Ekuban,DE,Back,,Out,2001,REG11
Emmitt Smith,RB,Knee,,Probable,2001,REG11
Corey Simon,DT,Knee,,Probable,2001,REG12
Brandon Whiting,DE,Hamstring,,Doubtful,2001,REG12
Dameane Douglas,WR,Quadricep,,Probable,2001,REG12
Mike Bartrum,TE,Shoulder,,Probable,2001,REG12
Freddie Mitchell,WR,Shoulder,,Probable,2001,REG12
Troy Vincent,CB,Arm,,Probable,2001,REG12
Rashard Cook,FS,Shoulder,,Probable,2001,REG12
Chad Lewis,TE,"Quadricep, Knee",,Probable,2001,REG12
Mike Caldwell,OLB,Calf,,Probable,2001,REG12
Jeff Thomason,TE,Knee,,Out,2001,REG12
Cecil Martin,FB,Hamstring,,Probable,2001,REG12
Snoop Minnis,WR,Ankle,,Questionable,2001,REG12
Larry Parker,WR,Thigh,,Probable,2001,REG12
Ray Crockett,CB,Groin,,Probable,2001,REG12
Gary Stills,OLB,Groin,,Questionable,2001,REG12
Chris Thomas,WR,Ankle,,Questionable,2001,REG12
Victor Riley,T,Ankle,,Out,2001,REG12
Nate Hobgood-Chittick,DT,Ankle,,Questionable,2001,REG12
Donald Willis,G,Calf,,Doubtful,2001,REG12
Jim Flanigan,DT,Hamstring,,Questionable,2002,REG1
Tony Parrish,S,Back,,Probable,2002,REG1
Rashad Holman,CB,Ribs,,Questionable,2002,REG1
Saleem Rasheed,LB,Thigh,,Doubtful,2002,REG1
Jeff Ulbrich,LB,Knee,,Out,2002,REG1
Matt Willig,T,Knee,,Questionable,2002,REG1
John Engelberger,DE,appendectomy,,Questionable,2002,REG1
Fred Beasley,RB,Back,,Probable,2002,REG1
Kerry Collins,QB,Shoulder,,Probable,2002,REG1
Shaun Williams,S,Knee,,Probable,2002,REG1
Wesly Mallard,LB,Hip,,Probable,2002,REG1
Jeremy Shockey,TE,Ankle,,Probable,2002,REG1
Micheal Barrow,LB,Knee,,Probable,2002,REG1
Jason Sehorn,CB,Knee,,Probable,2002,REG1
Damon Washington,RB,Knee,,Probable,2002,REG1
Tiki Barber,RB,Hamstring,,Questionable,2002,REG1
Lance Legree,DT,Knee,,Questionable,2002,REG1
Delvin Joyce,RB,Quadricep,,Questionable,2002,REG1
Brandon Short,LB,Hip,,Probable,2002,REG1
Dusty Zeigler,C,Knee,,Out,2002,REG1
Tim Carter,WR,"Back, Ribs",,Out,2002,REG1
Ron Dayne,RB,Neck,,Probable,2002,REG1
Daryl Jones,WR,Knee,,Probable,2002,REG1
Rod Gardner,WR,Shoulder,,Probable,2002,REG13
